Cluster,Identifier,RA,Dec,RA_Xmax,Dec_Xmax,z,LX_500_0.1-2.4,REF_LX,Type,Type_Flag,NVSSregionfile,F_lit,REF_F,REFPAGE_F,Comments,FLAG_INCLUDED,FLAG_Halo,Subtract,M500,REF_M500,REFPAGE_M500,M200,REF_M200,REFPAGE_M200,Discovery
#,,deg,deg,deg,deg,,10^44 ergs/s,,,,,mJy,,,,,,,10^14 Msol,,,10^14 Msol,,,
[KMA2007] 217.95869+13.53470,,217.9587,13.53469,,,0.16,1,,0,FALSE,NULL,NULL,,,"Can phoenix or lobe, http://adsabs.harvard.edu/abs/2011MNRAS.414.1175O, hard to measure , low luminosity, strong contaminating source",CLASSI,,,,,,,,,
1RXS_J060313.4+421231,"N, SW_a, SW_b",90.81,42.21,90.833,42.1967,0.225,7.7,2013MNRAS.433..812O,1,TRUE,RR_1RXS_J060313.4+421231,364,2016ApJ...818..204V,,"Toothbrush relic! http://arxiv.org/pdf/1209.2196v2.pdf, Fluss von  Reinout gibt in 2016",TRUE,TRUE,,,,,,,,
24P73,,334.4,59.732,,,0.15,NULL,,0,FALSE,RR_24P73,12.8,2011A+A...527A.114V,,unsure cluster position! http://adsabs.harvard.edu/abs/2009A%26A...508...75V,TRUE,,,,,,,,,
0809+39,,131.25,38.95,,,0.2,NULL,,1,FALSE,NULL,62.6,2009AJ....137.3158B,,"I should have this, https://arxiv.org/pdf/0811.0205.pdf, REDSHIFT IS NOT KNOWN",NOCLUSTER,,,,,,,,,
A_S753,,210.9,-33.99,,,0.014,0.5,2003AJ....125.1095S,0,FALSE,RR_AS753,460,2003AJ....125.1095S,,"http://arxiv.org/pdf/astro-ph/0212154.pdf, PKS B1400-33",TRUE,,,,,,,,,
A13,,3.41,-19.51,,,0.0943,1.18,2012A+ARv..20...54F,0,TRUE,RR_A13,31,2001AJ....122.1172S,,http://arxiv.org/pdf/astro-ph/0105267v1.pdf ? not gischt?,TRUE,,,,,,,,,
A85,,10.41,-9.34,,,0.055,4.1,2012A+ARv..20...54F,0,TRUE,RR_A85,43,2001AJ....122.1172S,,"Rms noise 3.3mJy/beam, not so roundish at high resolution, very steep spectrum    http://arxiv.org/pdf/astro-ph/0105267v1.pdf, 49.1 as flux value",TRUE,,,,,,,,,
A115,,14.0373,26.321,13.961349,26.408,0.197,8.91,2012A+ARv..20...54F,1,TRUE,RR_A115,147,2001A+A...376..803G,,"http://arxiv.org/abs/0705.1444 large uncertainty due to point sources, ",TRUE,,,,,,6.4,2018arXiv181208797K,"15, table 6",
A133,,15.66,-21.95,,,0.057,1.93,1996MNRAS.281..799E,0,FALSE,RR_A133,137,2010ApJ...722..825R,,http://arxiv.org/pdf/astro-ph/0105267v1.pdf,TRUE,,,,,,,,,
A209,,22.99,-13.576,,,0.206,6.17,2009A+A...507.1257G,1,FALSE,RR_A209,0.7,2009A+A...507.1257G,,http://www.aanda.org/articles/aa/pdf/2009/45/aa12667-09.pdf,FAINT,TRUE,,,,,,,,
A521,,73.54,-10.24,,,0.253,8.47,2012A+ARv..20...54F,1,TRUE,RR_A521,15,"
2006NewA...11..437G",,http://arxiv.org/pdf/0803.4127v1.pdf,TRUE,TRUE,,,,,,,,
A523,,74.754,8.7675,,,0.104,1.07,2012A+ARv..20...54F,3,FALSE,RR_A523,61,2011A+A...533A..35V,,"Or an halo  http://adsabs.harvard.edu/abs/2011A%26A...530L...5G, http://adsabs.harvard.edu/abs/2011A%26A...533A..35V http://arxiv.org/pdf/1107.5597.pdf",TRUE,CAND,,,,,,,,
A548b,"N,NW,C",86.36,-25.94,,,0.0424,0.15,2012A+ARv..20...54F,1,FALSE,RR_A548b,121,2006MNRAS.368..544F,,"MCXC_J0545.4-2556, ask simbad to incude A548b cluster, integrated circular flux is 70.2, https://www.researchgate.net/publication/241588031_Radio_Relics_in_Clusters_of_Galaxies_A_unique_case_of_Abell_548b",TRUE,,,,,,,,,
A610,,119.82,27.15,,,0.095,0.8,2008A+A...487...33B,1,FALSE,RR_A610,18.6,2000NewA....5..335G,,https://arxiv.org/pdf/astro-ph/0008342v1.pdf Or http://xxx.tau.ac.il/pdf/0806.2969.pdf 17.3),TRUE,,,,,,,,,
A725,,135.296,62.603,,,0.092,0.45,2000ApJS..129..435B,0,FALSE,RR_A725,6,2001ApJ...548..639K,,http://arxiv.org/pdf/0806.2969v1.pdf But http://davide2.bo.astro.it/wp-content/uploads/2014/02/trasatti_2015.pdf  say its just the tail of a radio galaxy,CLASSI,,,,,,,,,
A746,,137.4,51.55,,,0.232,3.68,2012A+ARv..20...54F,1,FALSE,RR_A746,24.5,2011A+A...533A..35V,,FIRST pointsource. http://www.aanda.org/articles/aa/full_html/2011/09/aa17149-11/F4.html  ???,TRUE,TRUE,,,,,,,,
