Cluster,Identifier,F_lit,F_lit_error,F_extra_frequ,assumed alpha,REF_F,REFTYPE_F,REFID_F,REFPAGE_F,Comments,FLAGS_INCLUDED_NVSS,FLAGS_CLASS,FLAG_conf,Counter,Alpha,Alpha_error,Alpha comment,REF_ALPHA,REFTYPE_ALPHA,REFID_ALPHA,REFPAGE_ALPHA,DETECTION,,,,,,,,,,,REMASTERED,Subtract
#,,mJy,,mHz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[KMA2007] 217.95869+13.53470,,NULL,,,,,,,,"Can phoenix or lobe, http://adsabs.harvard.edu/abs/2011MNRAS.414.1175O, hard to measure , low luminosity, strong contaminating source",CLASSI,PHOENIX/LOBE,FALSE,,,,FALSE,,,,,,,,,,,,,,,,,
1RXS_J060313.4+421231,Toothbrush,<364,,,,,,,,"Toothbrush relic! , Fluss von  Reinout gibt in 2016",TRUE,RELIC,,,-1.1,0.02,,http://arxiv.org/pdf/1209.2196v2.pdf,,,,,,,,,,,,,,,YES,
1RXS_J060313.4+421231,S,,,,,,,,,HaloOrRelic,TRUE,RELIC,FALSE,TRUE,,,,,,,,,,,,,,,,,,,,
1RXS_J060313.4+421231,S,,,,,kamlesh? None,,,,,TRUE,RELIC,FALSE,TRUE,-1.1,0.05,,http://arxiv.org/pdf/1209.2196v2.pdf,,,,,,,,,,,,,,,,
1RXS_J060313.4+421231,SW,,,,,,,,,,TRUE,RELIC,,,-1,0.2,,http://arxiv.org/pdf/1209.2196v2.pdf,,,,,,,,,,,,,,,,
1RXS_J060313.4+421231,Halo,,,,,,,,,,TRUE,HALO,,,-1.15,0.06,,http://arxiv.org/pdf/1209.2196v2.pdf,,,,,,,,,,,,,,,,
24P73,,12.8,,,,,,,,unsure cluster position! http://adsabs.harvard.edu/abs/2009A%26A...508...75V,TRUE,PHOENIX,,,-2.2,,,,,,,,,,,,,,,,,,,
0809+39,,62.6,,,,2009AJ....137.3158B,,,,"I should have this, https://arxiv.org/pdf/0811.0205.pdf, REDSHIFT IS NOT KNOWN",NoCluster,RELIC,FALSE,,,,,,,,,,,,,,,,,,,,,
A_S753,,460,,,,,,,,"http://arxiv.org/pdf/astro-ph/0212154.pdf, PKS B1400-33",TRUE,,,,,,steepening,,,,,,,,,,,,,,,,YES,
A13,,31,,,,,,,,http://arxiv.org/pdf/astro-ph/0105267v1.pdf ? not gischt?,TRUE,PHOENIX,,,,,steepening,,,,,,,,,,,,,,,,YES,
