#      q         M        r        M*(1-1/r)    s
     1.0100     1.273    1.4030     0.366     8.444080
     1.0103     1.276    1.4076     0.369     8.360602
     1.0106     1.280    1.4122     0.374     8.277754
     1.0109     1.283    1.4169     0.378     8.195593
     1.0113     1.286    1.4217     0.381     8.114172
     1.0116     1.290    1.4265     0.386     8.033619
     1.0120     1.293    1.4314     0.390     7.953965
     1.0123     1.296    1.4363     0.394     7.875262
     1.0127     1.300    1.4413     0.398     7.797553
     1.0131     1.304    1.4465     0.403     7.718921
     1.0135     1.307    1.4516     0.407     7.643383
     1.0139     1.311    1.4568     0.411     7.567123
     1.0143     1.315    1.4621     0.416     7.492107
     1.0147     1.318    1.4674     0.420     7.418339
     1.0152     1.322    1.4728     0.424     7.345822
     1.0156     1.326    1.4782     0.429     7.272997
     1.0161     1.330    1.4839     0.434     7.200046
     1.0166     1.334    1.4894     0.438     7.130008
     1.0171     1.338    1.4951     0.443     7.059921
     1.0176     1.342    1.5008     0.448     6.989910
     1.0181     1.346    1.5066     0.453     6.921420
     1.0187     1.351    1.5125     0.458     6.853150
     1.0193     1.355    1.5186     0.463     6.785225
     1.0198     1.359    1.5246     0.468     6.718876
     1.0204     1.364    1.5307     0.473     6.652964
     1.0210     1.368    1.5369     0.478     6.587568
     1.0217     1.373    1.5432     0.483     6.522762
     1.0223     1.377    1.5496     0.488     6.458617
     1.0230     1.382    1.5561     0.494     6.395166
     1.0237     1.387    1.5626     0.499     6.332477
     1.0244     1.392    1.5692     0.505     6.270589
     1.0252     1.397    1.5759     0.511     6.209514
     1.0259     1.401    1.5826     0.516     6.149301
     1.0267     1.406    1.5895     0.521     6.089216
     1.0276     1.412    1.5965     0.528     6.029366
     1.0284     1.417    1.6035     0.533     5.971222
     1.0293     1.422    1.6107     0.539     5.912732
     1.0302     1.427    1.6179     0.545     5.855316
     1.0311     1.433    1.6252     0.551     5.798366
     1.0320     1.438    1.6326     0.557     5.742522
     1.0330     1.444    1.6401     0.564     5.686650
     1.0340     1.450    1.6478     0.570     5.631408
     1.0350     1.455    1.6554     0.576     5.577356
     1.0361     1.461    1.6632     0.583     5.523475
     1.0372     1.467    1.6712     0.589     5.469863
     1.0383     1.473    1.6792     0.596     5.417050
     1.0395     1.479    1.6873     0.602     5.365054
     1.0407     1.486    1.6955     0.610     5.313475
     1.0420     1.492    1.7038     0.616     5.262770
     1.0433     1.498    1.7122     0.623     5.212179
     1.0446     1.505    1.7208     0.630     5.162159
     1.0460     1.512    1.7294     0.638     5.113106
     1.0474     1.518    1.7382     0.645     5.064000
     1.0488     1.525    1.7470     0.652     5.015917
     1.0503     1.532    1.7560     0.660     4.968225
     1.0519     1.539    1.7651     0.667     4.920980
     1.0535     1.547    1.7743     0.675     4.874228
     1.0551     1.554    1.7836     0.683     4.828292
     1.0568     1.561    1.7931     0.690     4.782645
     1.0586     1.569    1.8027     0.699     4.737356
     1.0604     1.577    1.8124     0.707     4.692725
     1.0622     1.584    1.8222     0.715     4.648770
     1.0642     1.592    1.8322     0.723     4.605067
     1.0662     1.600    1.8422     0.731     4.561896
     1.0682     1.609    1.8524     0.740     4.519288
     1.0703     1.617    1.8627     0.749     4.477275
     1.0725     1.626    1.8732     0.758     4.435506
     1.0748     1.634    1.8838     0.767     4.394406
     1.0771     1.643    1.8945     0.776     4.353642
     1.0795     1.652    1.9054     0.785     4.313438
     1.0820     1.661    1.9164     0.794     4.273657
     1.0845     1.670    1.9275     0.804     4.234343
     1.0872     1.680    1.9389     0.814     4.195386
     1.0899     1.689    1.9502     0.823     4.157113
     1.0927     1.699    1.9618     0.833     4.119133
     1.0956     1.709    1.9735     0.843     4.081628
     1.0986     1.719    1.9854     0.853     4.044510
     1.1018     1.730    1.9974     0.864     4.007820
     1.1049     1.740    2.0095     0.874     3.971706
     1.1083     1.751    2.0218     0.885     3.935867
     1.1117     1.762    2.0343     0.896     3.900562
     1.1152     1.773    2.0469     0.907     3.865619
     1.1189     1.784    2.0596     0.918     3.831170
     1.1227     1.796    2.0726     0.929     3.797066
     1.1266     1.808    2.0856     0.941     3.763434
     1.1306     1.820    2.0988     0.953     3.730141
     1.1348     1.832    2.1122     0.965     3.697305
     1.1391     1.845    2.1258     0.977     3.664881
     1.1435     1.857    2.1395     0.989     3.632833
     1.1481     1.870    2.1533     1.002     3.601197
     1.1529     1.884    2.1673     1.015     3.569939
     1.1579     1.897    2.1815     1.027     3.539097
     1.1630     1.911    2.1959     1.041     3.508643
     1.1682     1.925    2.2104     1.054     3.478553
     1.1737     1.939    2.2251     1.068     3.448865
     1.1793     1.954    2.2399     1.082     3.419557
     1.1852     1.969    2.2549     1.096     3.390615
     1.1912     1.984    2.2701     1.110     3.362027
     1.1975     2.000    2.2854     1.125     3.333829
     1.2040     2.016    2.3010     1.140     3.305967
     1.2107     2.032    2.3166     1.155     3.278520
     1.2177     2.049    2.3325     1.171     3.251399
     1.2249     2.065    2.3485     1.186     3.224678
     1.2324     2.083    2.3647     1.202     3.198281
     1.2401     2.101    2.3811     1.219     3.172246
     1.2482     2.119    2.3976     1.235     3.146573
     1.2565     2.137    2.4143     1.252     3.121234
     1.2651     2.156    2.4311     1.269     3.096237
     1.2741     2.175    2.4482     1.287     3.071587
     1.2834     2.195    2.4654     1.305     3.047292
     1.2930     2.216    2.4827     1.323     3.023335
     1.3031     2.236    2.5002     1.342     2.999702
     1.3134     2.258    2.5179     1.361     2.976406
     1.3242     2.279    2.5358     1.380     2.953439
     1.3354     2.302    2.5537     1.401     2.930814
     1.3471     2.324    2.5719     1.420     2.908506
     1.3592     2.348    2.5902     1.442     2.886516
     1.3717     2.372    2.6087     1.463     2.864859
     1.3848     2.396    2.6273     1.484     2.843537
     1.3984     2.421    2.6461     1.506     2.822505
     1.4125     2.447    2.6650     1.529     2.801815
     1.4273     2.474    2.6841     1.552     2.781416
     1.4426     2.501    2.7032     1.576     2.761344
     1.4585     2.529    2.7226     1.600     2.741572
     1.4751     2.557    2.7420     1.624     2.722122
     1.4924     2.587    2.7616     1.650     2.702962
     1.5105     2.617    2.7813     1.676     2.684119
     1.5293     2.648    2.8012     1.703     2.665566
     1.5489     2.679    2.8211     1.729     2.647322
     1.5693     2.712    2.8412     1.757     2.629378
     1.5907     2.746    2.8614     1.786     2.611726
     1.6130     2.780    2.8816     1.815     2.594366
     1.6363     2.816    2.9020     1.846     2.577303
     1.6607     2.852    2.9224     1.876     2.560531
     1.6861     2.890    2.9429     1.908     2.544049
     1.7127     2.929    2.9635     1.941     2.527849
     1.7406     2.969    2.9842     1.974     2.511940
     1.7698     3.010    3.0049     2.008     2.496311
     1.8004     3.052    3.0257     2.043     2.480968
     1.8324     3.096    3.0465     2.080     2.465906
     1.8660     3.141    3.0674     2.117     2.451121
     1.9013     3.188    3.0882     2.156     2.436620
     1.9383     3.236    3.1091     2.195     2.422388
     1.9771     3.285    3.1300     2.235     2.408436
     2.0180     3.337    3.1509     2.278     2.394754
     2.0609     3.390    3.1718     2.321     2.381343
     2.1061     3.444    3.1927     2.365     2.368204
     2.1537     3.501    3.2135     2.412     2.355334
     2.2039     3.560    3.2343     2.459     2.342729
     2.2568     3.620    3.2550     2.508     2.330392
     2.3125     3.683    3.2756     2.559     2.318320
     2.3714     3.748    3.2962     2.611     2.306509
     2.4337     3.816    3.3167     2.665     2.294962
     2.4995     3.886    3.3370     2.721     2.283673
     2.5691     3.959    3.3573     2.780     2.272644
     2.6429     4.034    3.3774     2.840     2.261871
     2.7211     4.113    3.3974     2.902     2.251355
     2.8040     4.194    3.4172     2.967     2.241093
     2.8921     4.279    3.4369     3.034     2.231084
     2.9857     4.367    3.4563     3.104     2.221327
     3.0853     4.459    3.4756     3.176     2.211820
     3.1914     4.555    3.4947     3.252     2.202561
     3.3045     4.655    3.5135     3.330     2.193550
     3.4251     4.759    3.5321     3.412     2.184785
     3.5540     4.868    3.5504     3.497     2.176264
     3.6918     4.981    3.5685     3.585     2.167985
     3.8393     5.100    3.5863     3.678     2.159947
     3.9974     5.224    3.6038     3.774     2.152148
     4.1671     5.354    3.6210     3.875     2.144587
     4.3494     5.490    3.6379     3.981     2.137261
     4.5455     5.633    3.6545     4.092     2.130169
     4.7567     5.783    3.6707     4.208     2.123310
     4.9846     5.940    3.6865     4.329     2.116680
     5.2307     6.105    3.7020     4.456     2.110278
     5.4969     6.279    3.7171     4.590     2.104101
     5.7852     6.462    3.7319     4.730     2.098149
     6.0980     6.654    3.7462     4.878     2.092417
     6.4379     6.858    3.7601     5.034     2.086904
     6.8078     7.072    3.7737     5.198     2.081607
     7.2110     7.299    3.7867     5.371     2.076523
