#         q            M           r           M*(1-1/r)        s
  1.010000e+00  1.273000e+00  1.403000e+00  3.660000e-01  8.444080e+00
  1.010228e+00  1.275181e+00  1.406582e+00  3.681353e-01  8.379113e+00
  1.010407e+00  1.277381e+00  1.409145e+00  3.705891e-01  8.332547e+00
  1.010569e+00  1.279601e+00  1.411680e+00  3.734514e-01  8.287008e+00
  1.010765e+00  1.281841e+00  1.414965e+00  3.765533e-01  8.229098e+00
  1.011053e+00  1.284100e+00  1.418765e+00  3.791486e-01  8.163781e+00
  1.011336e+00  1.286379e+00  1.422199e+00  3.814094e-01  8.105738e+00
  1.011491e+00  1.288679e+00  1.424852e+00  3.842440e-01  8.060952e+00
  1.011722e+00  1.290999e+00  1.427997e+00  3.873196e-01  8.009134e+00
  1.012041e+00  1.293339e+00  1.431988e+00  3.904696e-01  7.944459e+00
  1.012272e+00  1.295701e+00  1.435856e+00  3.936426e-01  7.882316e+00
  1.012507e+00  1.298084e+00  1.439057e+00  3.961381e-01  7.832034e+00
  1.012746e+00  1.300488e+00  1.441862e+00  3.985265e-01  7.788962e+00
  1.012977e+00  1.302913e+00  1.444886e+00  4.015179e-01  7.743094e+00
  1.013280e+00  1.305361e+00  1.448807e+00  4.048941e-01  7.684664e+00
  1.013597e+00  1.307830e+00  1.452849e+00  4.079083e-01  7.624949e+00
  1.013840e+00  1.310321e+00  1.456011e+00  4.103138e-01  7.578540e+00
  1.014068e+00  1.312835e+00  1.458995e+00  4.131227e-01  7.535797e+00
  1.014346e+00  1.315372e+00  1.462729e+00  4.165194e-01  7.483285e+00
  1.014691e+00  1.317932e+00  1.467288e+00  4.199205e-01  7.419879e+00
  1.015029e+00  1.320515e+00  1.470948e+00  4.225333e-01  7.370568e+00
  1.015314e+00  1.323121e+00  1.474247e+00  4.252723e-01  7.326224e+00
  1.015573e+00  1.325751e+00  1.477848e+00  4.286664e-01  7.277643e+00
  1.015892e+00  1.328405e+00  1.481640e+00  4.321400e-01  7.228718e+00
  1.016238e+00  1.331083e+00  1.485397e+00  4.351067e-01  7.180916e+00
  1.016573e+00  1.333786e+00  1.489101e+00  4.377677e-01  7.133750e+00
  1.016914e+00  1.336513e+00  1.492975e+00  4.410704e-01  7.085948e+00
  1.017258e+00  1.339265e+00  1.496884e+00  4.445923e-01  7.037904e+00
  1.017605e+00  1.342043e+00  1.500863e+00  4.480546e-01  6.989148e+00
  1.017960e+00  1.344846e+00  1.505027e+00  4.516453e-01  6.939827e+00
  1.018292e+00  1.347675e+00  1.508603e+00  4.547217e-01  6.897974e+00
  1.018636e+00  1.350529e+00  1.511894e+00  4.574983e-01  6.860014e+00
  1.019061e+00  1.353411e+00  1.516049e+00  4.609064e-01  6.813502e+00
  1.019479e+00  1.356319e+00  1.520704e+00  4.647454e-01  6.761919e+00
  1.019829e+00  1.359253e+00  1.524925e+00  4.682705e-01  6.715308e+00
  1.020169e+00  1.362216e+00  1.528404e+00  4.711383e-01  6.677477e+00
  1.020575e+00  1.365205e+00  1.532528e+00  4.744743e-01  6.633593e+00
  1.021033e+00  1.368223e+00  1.537211e+00  4.782513e-01  6.584318e+00
  1.021457e+00  1.371268e+00  1.540949e+00  4.812570e-01  6.545628e+00
  1.021899e+00  1.374342e+00  1.545272e+00  4.845679e-01  6.501868e+00
  1.022365e+00  1.377445e+00  1.550265e+00  4.885779e-01  6.452041e+00
  1.022804e+00  1.380577e+00  1.554364e+00  4.924298e-01  6.411980e+00
  1.023243e+00  1.383738e+00  1.558295e+00  4.957440e-01  6.373899e+00
  1.023690e+00  1.386929e+00  1.562505e+00  4.989235e-01  6.333381e+00
  1.024135e+00  1.390150e+00  1.566803e+00  5.027204e-01  6.292836e+00
  1.024612e+00  1.393402e+00  1.570966e+00  5.066749e-01  6.254355e+00
  1.025146e+00  1.396684e+00  1.575415e+00  5.106043e-01  6.213905e+00
  1.025726e+00  1.399997e+00  1.580931e+00  5.148211e-01  6.164178e+00
  1.026287e+00  1.403342e+00  1.586099e+00  5.183860e-01  6.118593e+00
  1.026809e+00  1.406719e+00  1.590345e+00  5.217870e-01  6.081939e+00
  1.027318e+00  1.410128e+00  1.594228e+00  5.258492e-01  6.048616e+00
  1.027842e+00  1.413569e+00  1.598591e+00  5.296076e-01  6.011840e+00
  1.028407e+00  1.417043e+00  1.603562e+00  5.330457e-01  5.970714e+00
  1.029031e+00  1.420550e+00  1.608587e+00  5.371715e-01  5.929765e+00
  1.029691e+00  1.424091e+00  1.613810e+00  5.416214e-01  5.887834e+00
  1.030305e+00  1.427667e+00  1.618743e+00  5.456994e-01  5.848635e+00
  1.030833e+00  1.431276e+00  1.623007e+00  5.492310e-01  5.815216e+00
  1.031434e+00  1.434920e+00  1.627979e+00  5.531967e-01  5.777291e+00
  1.032107e+00  1.438600e+00  1.633439e+00  5.577453e-01  5.736222e+00
  1.032731e+00  1.442315e+00  1.638115e+00  5.621708e-01  5.701260e+00
  1.033327e+00  1.446067e+00  1.642578e+00  5.660619e-01  5.668705e+00
  1.033973e+00  1.449854e+00  1.647588e+00  5.698422e-01  5.632917e+00
  1.034735e+00  1.453679e+00  1.653433e+00  5.743543e-01  5.591278e+00
  1.035478e+00  1.457541e+00  1.658834e+00  5.791082e-01  5.553354e+00
  1.036180e+00  1.461440e+00  1.663767e+00  5.834528e-01  5.519638e+00
  1.036904e+00  1.465378e+00  1.669017e+00  5.873098e-01  5.484416e+00
  1.037622e+00  1.469355e+00  1.674325e+00  5.917302e-01  5.449093e+00
  1.038373e+00  1.473371e+00  1.679708e+00  5.963971e-01  5.413747e+00
  1.039198e+00  1.477426e+00  1.685271e+00  6.003984e-01  5.377983e+00
  1.039933e+00  1.481521e+00  1.690280e+00  6.048457e-01  5.346132e+00
  1.040636e+00  1.485657e+00  1.695074e+00  6.096318e-01  5.316111e+00
  1.041508e+00  1.489834e+00  1.700685e+00  6.137900e-01  5.281706e+00
  1.042462e+00  1.494052e+00  1.706746e+00  6.183491e-01  5.244907e+00
  1.043362e+00  1.498312e+00  1.712612e+00  6.233417e-01  5.209740e+00
  1.044168e+00  1.502615e+00  1.717988e+00  6.276411e-01  5.178353e+00
  1.044965e+00  1.506961e+00  1.723079e+00  6.320983e-01  5.149069e+00
  1.045855e+00  1.511350e+00  1.728511e+00  6.372150e-01  5.118122e+00
  1.046890e+00  1.515783e+00  1.734971e+00  6.425282e-01  5.081922e+00
  1.047874e+00  1.520261e+00  1.741204e+00  6.472931e-01  5.047432e+00
  1.048757e+00  1.524784e+00  1.746736e+00  6.517713e-01  5.017336e+00
  1.049707e+00  1.529353e+00  1.752512e+00  6.569675e-01  4.986565e+00
  1.050757e+00  1.533968e+00  1.758628e+00  6.620945e-01  4.954498e+00
  1.051821e+00  1.538630e+00  1.764651e+00  6.666494e-01  4.923295e+00
  1.052770e+00  1.543339e+00  1.770068e+00  6.711723e-01  4.895562e+00
  1.053733e+00  1.548096e+00  1.775660e+00  6.762380e-01  4.867431e+00
  1.054835e+00  1.552902e+00  1.782078e+00  6.818007e-01  4.835721e+00
  1.056018e+00  1.557757e+00  1.788790e+00  6.867561e-01  4.803230e+00
  1.057188e+00  1.562661e+00  1.795196e+00  6.918151e-01  4.772684e+00
  1.058298e+00  1.567616e+00  1.801101e+00  6.974907e-01  4.744831e+00
  1.059389e+00  1.572622e+00  1.806911e+00  7.026208e-01  4.717822e+00
  1.060568e+00  1.577680e+00  1.813322e+00  7.077415e-01  4.688545e+00
  1.061887e+00  1.582790e+00  1.820540e+00  7.136414e-01  4.656140e+00
  1.063192e+00  1.587953e+00  1.827243e+00  7.190731e-01  4.626612e+00
  1.064498e+00  1.593169e+00  1.833668e+00  7.241539e-01  4.598696e+00
  1.065830e+00  1.598440e+00  1.840325e+00  7.294506e-01  4.569925e+00
  1.067028e+00  1.603766e+00  1.846441e+00  7.346667e-01  4.543974e+00
  1.068236e+00  1.609148e+00  1.852581e+00  7.401610e-01  4.518544e+00
  1.069668e+00  1.614586e+00  1.859627e+00  7.463401e-01  4.489736e+00
  1.071049e+00  1.620081e+00  1.866321e+00  7.521187e-01  4.462708e+00
  1.072403e+00  1.625634e+00  1.872747e+00  7.576139e-01  4.437280e+00
  1.074007e+00  1.631246e+00  1.880150e+00  7.639080e-01  4.408493e+00
  1.075577e+00  1.636917e+00  1.887405e+00  7.700438e-01  4.380553e+00
  1.077011e+00  1.642648e+00  1.894088e+00  7.756550e-01  4.355189e+00
  1.078529e+00  1.648440e+00  1.901045e+00  7.814411e-01  4.329377e+00
  1.080132e+00  1.654294e+00  1.908192e+00  7.872478e-01  4.303278e+00
  1.081778e+00  1.660210e+00  1.915420e+00  7.931645e-01  4.277172e+00
  1.083455e+00  1.666190e+00  1.922889e+00  7.997743e-01  4.250528e+00
  1.085095e+00  1.672234e+00  1.930066e+00  8.063405e-01  4.225471e+00
  1.086732e+00  1.678343e+00  1.936948e+00  8.123812e-01  4.202015e+00
  1.088548e+00  1.684518e+00  1.944540e+00  8.184907e-01  4.176204e+00
  1.090409e+00  1.690759e+00  1.952329e+00  8.247656e-01  4.150032e+00
  1.092164e+00  1.697068e+00  1.959606e+00  8.310715e-01  4.126231e+00
  1.093964e+00  1.703446e+00  1.966922e+00  8.374436e-01  4.102615e+00
  1.095868e+00  1.709893e+00  1.974578e+00  8.438934e-01  4.078224e+00
  1.097832e+00  1.716411e+00  1.982420e+00  8.504110e-01  4.053732e+00
  1.099760e+00  1.723000e+00  1.989759e+00  8.569993e-01  4.031082e+00
  1.101699e+00  1.729661e+00  1.997010e+00  8.636607e-01  4.008996e+00
  1.103770e+00  1.736395e+00  2.005131e+00  8.703957e-01  3.984664e+00
  1.105897e+00  1.743204e+00  2.013193e+00  8.772028e-01  3.960832e+00
  1.108019e+00  1.750088e+00  2.020791e+00  8.840871e-01  3.938760e+00
  1.110166e+00  1.757048e+00  2.028628e+00  8.910550e-01  3.916479e+00
  1.112349e+00  1.764086e+00  2.036683e+00  8.980762e-01  3.893908e+00
  1.114610e+00  1.771202e+00  2.044824e+00  9.051835e-01  3.871335e+00
  1.117020e+00  1.778397e+00  2.053181e+00  9.124860e-01  3.848454e+00
  1.119444e+00  1.785673e+00  2.061463e+00  9.195674e-01  3.826218e+00
  1.121765e+00  1.793031e+00  2.069423e+00  9.262435e-01  3.805332e+00
